step	commit	score	specs_met	description
0	04afc3b	0.90	5/6	initial baseline — wrong StrongARM topology, broken timing MEAS parsing
1	8b22f07	1.00	6/6	fixed topology (NMOS latch to fn/fp), wrdata parser, delay measurement
2	39a4419	1.00	6/6	Phase B: MC 200 runs (100% yield DNL<1.0), PVT 15/15 pass, mismatch model
3	54b6d04	1.00	6/6	Cap sensitivity (5um=99%, 7um=100%), supply ±10% pass
4	648dfa3	1.00	6/6	VCM offset model corrected for charge redistribution — 0 missing codes
5	185dae8	1.00	6/6	Higher DNL resolution (32pts/code), 2-stage comp investigated
6	DISCARDED	-	-	W=4u input pair: lower offset but 3/15 PVT failures (ff/sf corners)
7	fde18a4	1.00	6/6	Combined stress test (mismatch+noise+VCM offset): ENOB 10.53-10.62
8	067c1c6	1.00	6/6	Extended MC 500 runs: 100% yield, p99 DNL=0.376, p1 ENOB=10.18
9	057854c	1.00	6/6	W_in=3u W_n=2u: 27% faster, 40% better PVT, 100% yield maintained
10	646867b	1.00	6/6	SPICE gm extraction validates noise model (0.23mV ≈ 0.53 LSB)
11	1031653	1.00	6/6	SPICE DAC verification: charge redistribution confirmed with MIM caps
